epoch,loss,loss_natural,loss_robust,lambda_min,lambda_max,lambda_mean,acc_natural,acc_robust,robust_drop,attack_success_rate,alpha_c_0,alpha_c_1,alpha_c_2,alpha_c_3,alpha_c_4,alpha_c_5,alpha_c_6,alpha_c_7,alpha_c_8,alpha_c_9,beta_c_0,beta_c_1,beta_c_2,beta_c_3,beta_c_4,beta_c_5,beta_c_6,beta_c_7,beta_c_8,beta_c_9
1,2.0937145209884642,0.0,0.0,0.22723698616027832,3.0,2.9808907758854235,0.39239999999999997,0.23140000000000005,0.16099999999999992,0.7686,1.030848020482856,1.7159620346620565,1.6780355644348028,1.9137303271257053,1.6687031737373919,1.9508685852255663,1.7523345337499439,1.919330283199125,1.1151041691870336,1.669060126289992,1.6624603853811084,1.8397352759490537,1.2392002658161057,1.3415146657572987,1.1144576194646107,1.2435214690235266,1.0611526368524107,1.3259610102304717,1.8398097780964258,1.844843901026889
2,1.7921960091018676,0.0,0.0,1.3989201784133911,3.0,2.981166111538782,0.46630000000000005,0.249,0.21730000000000005,0.751,1.0481343302885284,1.5657014352891145,1.8319725703705303,1.9897553948185327,1.8210557424808707,1.8838580221776158,1.8884147619042555,1.8624194113494794,1.0981229787592388,1.5713296390860283,1.5656258962343417,1.8082746096584192,1.1111967575824475,1.1466894100998979,1.2031500891346456,1.1148936288131168,1.151448847997524,1.4987006470980242,1.7760043086298287,1.9092640099318132
3,1.6822405558013915,0.0,0.0,1.3408496379852295,3.0,2.976584191212569,0.5139,0.25880000000000003,0.2551,0.7412,1.0221402620720437,1.380762786206687,1.8539391484711787,1.9978911349230715,1.8296511411057104,1.8358040160840126,1.8732935556060517,1.7092855821180222,1.0817815010504954,1.49430789636529,1.5077535612199007,1.820076568352292,1.1541827215867884,1.1181419941470445,1.3709174598879217,1.089185138492633,1.163472546031103,1.5885901207204365,1.7878545702570845,1.9433491068422948
4,1.5912387916183472,0.0,0.0,1.1978949308395386,3.0,2.9715513170832564,0.5494,0.28879999999999995,0.26060000000000005,0.7112,1.0287066908443676,1.2599033522788825,1.8528693426600502,1.998081322216317,1.8521053629458104,1.7984031996763576,1.8460857154768142,1.6173553802168277,1.0970142665116682,1.4211369469342634,1.5215467882278326,1.84875529379491,1.1468177741140966,1.1163039625148334,1.325743147479299,1.0279555089028596,1.1736135845598967,1.585511842347167,1.7623808829070966,1.9641826713786406
5,1.5191651498031615,0.0,0.0,1.100539207458496,3.0,2.9641114006871763,0.6152,0.3133,0.30189999999999995,0.6867,1.0403622553476592,1.183680410275374,1.8579995217530623,1.9970387442947348,1.8747727617888195,1.7727033479134444,1.8183670665906824,1.5567139603597733,1.0685765520690957,1.3531524446004493,1.5310730931094236,1.9007674827600074,1.1094085856166946,1.135352526479365,1.3014051700796923,1.0180910725117949,1.1729505897482948,1.4919973538659723,1.7422874333608487,1.9494322349348336
6,1.4553840798950195,0.0,0.0,0.9822200536727905,3.0,2.952725176920976,0.6313,0.32499999999999996,0.3063,0.675,1.0577962462554502,1.0982571224422406,1.8691353340587957,1.9975992377151919,1.8973568632169757,1.780811769273275,1.8230472678113776,1.547526400717323,1.0977899250776872,1.3377210923168055,1.4701685624964096,1.9321922792498107,1.115490941440358,1.1146897297076253,1.2820550471620487,1.0411687473506879,1.1319137397019758,1.417086075333988,1.675582065606666,1.914858768358255
7,1.4012422745513915,0.0,0.0,0.7033257484436035,3.0,2.9425993051065507,0.6441,0.3389,0.3052,0.6611,1.1060081753889313,1.052814652242929,1.8525008518067771,1.9977011403159413,1.9031052260142762,1.7639244977775437,1.810011899379818,1.5155420358223683,1.1083333019710258,1.3293858440330877,1.4717637474274696,1.9014720901503892,1.1246964236354584,1.0856295854539213,1.2974649585421434,1.0441541851633955,1.1407251723891938,1.3734375982333327,1.6817814398299702,1.915829486249353
8,1.3624808088302611,0.0,0.0,0.6162130236625671,3.0,2.937209236652345,0.6543,0.3369,0.3174,0.6631,1.1221545980409589,1.016940494022711,1.8507458239869998,1.9958586269022558,1.8975488557230176,1.7563588027758976,1.7947562036611844,1.5063460495160974,1.147246032114834,1.2996563158376748,1.4400542379950014,1.9108488117642415,1.1081563563602965,1.0917321342946318,1.2769266876113383,1.0511420446893442,1.1422536287771161,1.3302257585403559,1.6322547834547585,1.9283780021130885
9,1.3289306520080566,0.0,0.0,0.5011928081512451,3.0,2.926365757842198,0.6759,0.34909999999999997,0.3268,0.6509,1.1282424545653946,1.021244513409217,1.8569862345600372,1.9962368487092235,1.908888226579827,1.7563967238301816,1.799389616912588,1.514304939438315,1.149346321440109,1.3350514941813085,1.4820966095570713,1.8789986689072435,1.1245141898274726,1.144445293394806,1.2834243448189153,1.0813667411389558,1.1001734096375877,1.306951221297769,1.6101149189502686,1.9410711036008947
10,1.3058876998138427,0.0,0.0,0.5682533383369446,3.0,2.9211843519869363,0.7022999999999999,0.37770000000000004,0.3245999999999999,0.6223,1.1533914328840993,1.0122625355220511,1.8578490680440918,1.9974312834117725,1.9138411030440075,1.7635715416325328,1.8060276398573385,1.4914684948104118,1.1763415995156368,1.3292569254365418,1.473244599978942,1.9052928155645386,1.1668533842886806,1.0958938994980834,1.2801487512905578,1.0514706903711304,1.1135122879691746,1.28270722136778,1.586144509217928,1.8811851651467326
11,1.288788380279541,0.0,0.0,0.614912211894989,3.0,2.914888291712612,0.706,0.37239999999999995,0.3336,0.6276,1.1543415422024934,1.006831688039443,1.8681963008383047,1.998560210627973,1.918719644436751,1.7536221773118315,1.7970500702748213,1.48849889171093,1.18136842628879,1.3187376708935594,1.4627769840952685,1.866395899097023,1.1554333422799854,1.175786562892787,1.3400019163365864,1.05776999368692,1.145114664836308,1.3338228049485579,1.5847286046923275,1.9094808132142362
12,1.271419934577942,0.0,0.0,0.5428993701934814,3.0,2.912970808156006,0.6956,0.3819,0.3137,0.6181,1.1817838499308242,1.0056552835132764,1.8593657660057477,1.9978967115397344,1.9118521707442107,1.7597346183893932,1.7934692088905198,1.477860744651931,1.1946802584411542,1.3077966456523027,1.3967092393914147,1.8494827719905493,1.138977282187518,1.1592139411155524,1.3242566076386006,1.070695504203172,1.1165250259287216,1.2482172275138328,1.6038041410543729,1.913806832964768
13,1.2589066683959962,0.0,0.0,0.5614587068557739,3.0,2.9051214173016953,0.7141,0.37670000000000003,0.3373999999999999,0.6233,1.1897990182232674,1.0051550032842496,1.8626053049741194,1.9966206477426203,1.9304284332963206,1.752392170984117,1.802690070608388,1.4901174755047655,1.209458240462691,1.3216481278924381,1.398909350490326,1.8586716746430263,1.1543694926649712,1.1586602383562365,1.3049268637166913,1.1397883889010496,1.1123472000936718,1.3025961891769449,1.5746263643664777,1.8995891400920155
14,1.245573889465332,0.0,0.0,0.464871346950531,3.0,2.9006387309345136,0.6880999999999999,0.388,0.3000999999999999,0.612,1.1813691412396443,1.006218567528688,1.8669958879880588,1.9989661816745767,1.9175958612081034,1.7604390544354762,1.8089945298021712,1.4701803322033504,1.1988646874342428,1.3100535153123118,1.474547488915036,1.8880787200635047,1.1761998962563323,1.1836386906826282,1.3978792212503341,1.1278739560900441,1.1266417171034362,1.2597885799529913,1.6392656726300563,1.9105436914717144
